Tweet,Clasificación
"No soporto a @Claudiashein, no voy a votar por ella, soy acerrima enemiga de la #4TdeCaca. Usar el termino ""Judia"" de manera despectiva es un error. La derretida es de origen judio PERO NO ES PRACTICANTE ni pertenece a la #ComunidadJudia",0
"Nadie esta contento con las marranadas que hizo MORENA, y personalmente NO pienso votar por Claudia...Pero de eso a sugerir que es peor que el PRIAN, ya me parece totalmente absurdo y burdo.Ninguno de los dos es bueno, mucho menos el PRIAN",0
Jamas volveria a votar por algun candidato de Morena y menos por @Claudiashein la titere de @lopezobrador_,0
"Claudia Sheinbaum @Claudiashein es una tramposa corrupta, no sera presidenta.",0
"Que poca carisma, pero eso lo perdonaria, es la incompetencia de @Claudiashein lo que me hara anular mi voto para el 2024",0
"Yo decidi anular mi voto en el 24, no me hare responsable de la incompetencia de @Claudiashein ademas de que su futuro fracaso ocasionara lo mismo que en Brasil, su incompetencia traera a la extrema derecha a este pais, es una globalista !!!",0
"Es @Claudiashein ... corrupta, mentirosa, hipocrita y demas, esto siguen queriendo para este Pais.",0
Lamentablemente mi voto no sera para Claudia. Mucho menos sera para la botarga. Esta vez sera voto nulo. No hay candidato confiable!!!,0
" @ClaudiasheinYo no te apoyo, caes mal, das hueva, toma 1 curso de desarrollo personal para que te ensenen a hablar,",0
"Hermano yo no apoyo a Claudia, por abusar de publicidad en todo el pais y las preferencias muy pseudo morena podra ser pero no. No me gusto y mi voto se va pal otro lado nomas de ardida, quizas dias antes de cambie pero ahora ando con la bilis al cien",0
Yo no voy a votar nunca por ti @Claudiashein,0
Resignate tu a que Claudia nunca sera presidenta,0
Si peleo por mis intereses y tu imposicion que es? Igual de ridicula no va a ganar Claudia nunca Sera presidenta,0
"Absolutamente NADA ,, por que @Claudiashein NO SERA ,,!!!",0
"No subestimen a los ciudadanos,@Claudiashein nunca sera Presidenta. Fue la mejor eleccion del corruptazo de @lopezobrador_ nadie la quiere. Jajajajaja",0
Yo no votare por Claudia,0
"Yo decidi anular mi voto en el 24, no me hare responsable de la incompetencia de @Claudiashein ademas de que su futuro fracaso ocasionara lo mismo que en Brasil, su incompetencia traera a la extrema derecha a este pais, es una globalista !!!",0
#MiVotoNoesPorClaudia. Prefiero anular mi voto. Lamentable la decision,0
Yo no voy a votar por @Claudiashein Asi de simple: ...NO ME CAE BIEN...,0
"no voy con Claudia, debieron elegir otro candidato.",0
"Y la unica #Cogupta seleccionada con una encuesta amanada y posterior a que el presidente la posicionara entre la gente como su candidata es ella, la Cheimbaum. ",0
Claudia jamas sera presidente. Ni siquiera en el remoto caso que ganara. Ni Judas ni dedos.,0
No a ganado nada ni ganara la proxima presidenta de Mexico sera la doctora @Claudiashein ,0
